HUD AMP #,TDS #,CONSOLIDATED TDS #,DEVELOPMENT EDP #,OPERATING EDP #,HUD #,DEVELOPMENT NAME,METHOD,TYPE,PROGRAM,# OF SECTION 8 TRANSITION UNITS,# OF CURRENT UNITS,TOTAL NUMBER OF UNITS,NUMBER OF RENTAL ROOMS,AVG. NO. R/R PER UNIT,POPULATION - SECTION 8 TRANSITION,POPULATION - PUBLIC HOUSING,TOTAL POPULATION,# OF RESIDENTIAL BUILDINGS,# OF NON-RESIDENTIAL BUILDINGS,# OF STAIRHALLS,# OF STORIES,TOTAL AREA - SQ. FT.,ACRES,NET DEV. AREA - SQ. FT.,(EXCLUDING PARK) ACRES,BLDG. COVERAGE - SQ. FT.,CUBAGE - CU. FT.,BLDG/LAND COVERAGE - %,DENSITY (POPULATION/ACRE),DEVELOPMENT COST,COST PER RENTAL ROOM (AS BUILT),AVG. MONTHLY GROSS RENT,LOCATION,BOROUGH,COMMUNITY DISTRICT,US CONGRESSIONAL DISTRICT,NEW YORK STATE SENATE DISTRICT,NEW YORK STATE ASSEMBLY DISTRICT,NEW YORK CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,# OF FAMILIES ON FIXED INCOME,% OF FAMILIES ON FIXED INCOME,YEAR
NY005011330,180,133,289,289,NY005090,1010 EAST 178TH STREET,CONVENTIONAL,NEW CONST,,,218,220,918,4.21,,462,462,1,0,1,21,"88,172",2.02,"88,172",2.02,"14,961","1,841,787",16.97%,229,"$5,031,405","$5,341",$439.24,E TREMONT AVE,BRONX,6,15,32,87,15,3/31/1971,,,,,,,2016
NY005013080,233,308,354,344,NY005138,1162-1176 WASHINGTON AVENUE,TURNKEY,REHAB,,,65,66,293.5,4.52,,191,191,1,0,1,6,"18,987",0.44,"18,987",0.44,"12,231","851,926",64.42%,434,"$2,205,187","$7,302",$471.03,E 167TH ST,BRONX,3,15,32,79,16,12/31/1975,,,,,,,2016
NY005010670,214,067,332,222,NY005162,1471 WATSON AVENUE,TURNKEY,NEW CONST,,,96,96,386,4.02,,166,166,1,0,1,6,"39,937",0.92,"39,937",0.92,"13,337","810,629",33.40%,180,"$2,278,928","$5,814",$403.10,WATSON AVE,BRONX,9,15,32,85,17,12/31/1970,,,,,,,2016
NY005001180,118,118,248,248,NY005049,ADAMS,CONVENTIONAL,NEW CONST,,,925,925,"4,309.5",4.66,,"2,402","2,402",7,0,7,15-21,"408,888",9.39,"383,068",8.79,"56,283","8,181,502",13.76%,256,"$17,878,818","$4,149",$469.44,WESTCHESTER AVE,BRONX,1,15,29,84,17,8/31/1964,,,,,,,2016
NY005012020,202,197,311,311,NY005106,BAILEY AVENUE-WEST 193RD STREET,CONVENTIONAL,NEW CONST,,,233,233,980.5,4.21,,461,461,1,0,1,20,"99,606",2.29,"99,606",2.29,"13,621","1,877,893",13.67%,201,"$8,091,156","$8,173",$440.81,BAILEY AVE,BRONX,7,13,33,86,14,5/31/1973,,,,,,,2016
NY005021260,126,138,440,440,NY005367,BAYCHESTER,CONVENTIONAL,NEW CONST,,127,440,441,"1,863",4.23,282,590,872,11,1,12,6,"360,248",8.27,"360,248",8.27,"66,835","3,759,170",18.55%,105,"$8,099,000","$4,339",$421.05,SCHIEFFELIN AVE,BRONX,12,16,36,83,12,10/31/1963,,,,,,,2016
NY005012110,211,211,326,326,NY005121,BETANCES I,CONVENTIONAL,NEW CONST,,,309,309,"1,410.5",4.56,,710,710,13,0,13,3-4-12-20,"136,173",3.13,"136,173",3.13,"40,862","2,587,665",30.01%,227,"$8,854,586","$6,216",$465.11,BROOK AVE,BRONX,1,15,29,84,8,5/31/1973,,PARTIALLY,,,,,2016
NY005012110,230,211,349,326,NY005135,BETANCES IV,TURNKEY,NEW CONST,FEDERAL,,282,282,"1,366",4.84,,769,769,8,0,19,3-4-6,"189,526",4.35,"189,526",4.35,"74,343","3,694,403",39.23%,177,"$10,758,956","$7,853",$501.31,E 143RD ST,BRONX,1,15,29,84,8,12/31/1973,,,,,,,2016
NY005012110,231,211,350,326,NY005136,BETANCES V,TURNKEY,REHAB,FEDERAL,,100,100,484,4.84,,317,317,6,0,6,5-6,"45,308",1.04,"45,308",1.04,"30,557","2,021,785",67.44%,305,"$5,877,679","$7,916",$486.35,E 143RD ST,BRONX,1,15,29,84,8,2/28/1974,,,,,,,2016
NY005012110,285,211,545,545,NY005217,BETANCES VI,CONVENTIONAL,REHAB,FEDERAL,,155,155,726.5,4.69,,379,379,3,2,5,5-6,"56,604",1.3,"56,604",1.3,"18,582","993,708",32.83%,292,"$10,480,359","$14,337",$516.12,E 147TH ST,BRONX,1,15,29,84,8,10/31/1982,,,YES,,,,2016
NY005010390,189,039,304,304,NY005095,BOSTON ROAD PLAZA,CONVENTIONAL,NEW CONST (ELD),FEDERAL,,233,235,817.5,3.51,,274,274,1,1,2,20,"84,416",1.94,"84,416",1.94,"15,045","1,589,318",17.82%,141,"$7,125,145","$8,452",$364.57,MACE AVE,BRONX,11,14,34,80,13,8/31/1972,,EXCLUSIVELY,,,,,2016
NY005011380,138,138,254,254,NY005060,BOSTON SECOR,CONVENTIONAL,NEW CONST,FEDERAL,,538,538,"2,487",4.62,,"1,370","1,370",4,2,5,13-14-17-18,"612,889",14.07,"612,889",14.07,"36,181","4,849,474",5.90%,97,"$11,894,964","$4,778",$464.01,IRT-DYRE AVE LINE,BRONX,12,16,36,83,12,4/30/1969,,,,,,,2016
NY005010320,346,032,767,533,NY005249,BOYNTON AVENUE REHAB,TURNKEY,REHAB,,,82,82,367,4.48,,188,188,3,0,3,4-6,"30,000",0.69,"30,000",0.69,"16,455","999,600",54.85%,272,"$4,943,129","$13,396",$472.65,WATSON AVE,BRONX,9,15,32,85,18,8/22/1985,,,YES,,,,2016
