"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-01","3.36",",,W"," 2355",",,X"," 2359",",,W","0.03",",,0,2400","0.0","T,,0,","0.0","T,,0,",,,"40",",,0","33",",,0",,,"  290",",,X","  260",",,X","16.1",",,X","21.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X","    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-02","12.53",",,W"," 2349",",,X"," 2349",",,W","0.02",",,0,2400","0.2",",,0,","0.0",",,0,",,,"34",",,0","17",",,0",,,"  270",",,X","  280",",,X","21.9",",,X","34.9",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-03","14.32",",,W"," 1254",",,X"," 1055",",,W","0.00","T,,0,2400","0.0","T,,0,","0.0",",,0,",,,"22",",,0","17",",,0",,,"  290",",,X","  310",",,X","25.9",",,X","38.9",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-04","10.74",",,W"," 0249",",,X"," 1722",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"30",",,0","19",",,0",,,"  290",",,X","  280",",,X","17.0",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-05","9.84",",,W"," 2206",",,X"," 1047",",,W","0.00","T,,0,2400","0.0","T,,0,","0.0",",,0,",,,"30",",,0","20",",,0",,,"  290",",,X","  270",",,X","17.0",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-06","9.62",",,W"," 2141",",,X"," 2021",",,W","0.00","T,,0,2400","0.0","T,,0,","0.0",",,0,",,,"34",",,0","26",",,0",,,"  290",",,X","  310",",,X","19.9",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-07","8.72",",,W"," 1150",",,X"," 1009",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"37",",,0","30",",,0",,,"  290",",,X","  310",",,X","16.1",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-08","7.61",",,W"," 1805",",,X"," 1844",",,W","0.05",",,0,2400","0.6",",,0,","0.0",",,0,",,,"33",",,0","23",",,0",,,"  290",",,X","  290",",,X","21.9",",,X","30.0",",,X","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-09","8.72",",,W"," 0825",",,X"," 0824",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"30",",,0","18",",,0",,,"  300",",,X","  300",",,X","17.0",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-10","6.93",",,W"," 1750",",,X"," 1805",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"28",",,0","14",",,0",,,"  290",",,X","  300",",,X","13.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
